source,target,weight
Max B,Mel Matrix,2
Wale,Meek Mill,5
Wale,J. Cole,3
Diddy,Black Rob,6
Diddy,Busta Rhymes,5
Diddy,The Bad Boy Family,4
Diddy,Mark Curry,4
Diddy,8Ball & MJG,3
Diddy,Faith Evans,2
Diddy,Fabolous,2
Diddy,Swizz Beatz,2
Diddy,M.O.P.,2
Diddy,The Notorious B.I.G.,2
Diddy,Benny the Butcher,2
Diddy,The‐Dream,2
Meek Mill,Ed Sheeran,1
Meek Mill,Nicki Minaj,4
Meek Mill,Kid Ink,3
Meek Mill,Vory,2
Meek Mill,FERG,2
Meek Mill,Kendrick Lamar,1
Meek Mill,Jeremih,2
Meek Mill,J. Cole,2
Meek Mill,DJ Khaled,3
NAV,A Boogie Wit da Hoodie,2
21 Savage,BIA,4
21 Savage,Quavo,2
21 Savage,XXXTENTACION,2
Swae Lee,Khalid,2
Gunna,Normani,4
Offset,Lil Yachty,2
Lil Uzi Vert,Bebe,2
Oneohtrix Point Never,A. G. Cook,2
Threat,Minor Threat,36
Kendrick Lamar,Birdman,3
Kendrick Lamar,ScHoolboy Q,8
Kendrick Lamar,SZA,4
Kendrick Lamar,Funkadelic,3
Kendrick Lamar,Dr. Dre,4
Kendrick Lamar,Jay Rock,21
Kendrick Lamar,Detail,2
Kendrick Lamar,Ace Hood,2
Kendrick Lamar,Mack Maine,2
Kendrick Lamar,Beyoncé,2
Kendrick Lamar,Meanz of Operation,1
Kendrick Lamar,Jeremih,1
Kendrick Lamar,Theophilus London,1
Kendrick Lamar,Paul McCartney,1
Kendrick Lamar,Maroon 5,2
Kendrick Lamar,J. Cole,2
Kendrick Lamar,Dua Lipa,1
JAY‐Z,Beyoncé,11
JAY‐Z,Dr. Dre,2
JAY‐Z,J. Cole,2
JAY‐Z,The Notorious B.I.G.,3
JAY‐Z,Eminem,1
JAY‐Z,Memphis Bleek,5
JAY‐Z,Big L,5
JAY‐Z,Freeway,5
JAY‐Z,Beanie Sigel,3
JAY‐Z,Geda K.,2
JAY‐Z,Lil’ Cease,2
JAY‐Z,Usher,2
Kid Cudi,The‐Dream,3
Kid Cudi,Ryan Leslie,3
Giorgio Moroder,Donna Summer,13
Giorgio Moroder,Raney Shockne,4
Giorgio Moroder,Philip Oakey,4
Giorgio Moroder,Klaus Doldinger,3
Giorgio Moroder,Paul Engemann,3
Busta Rhymes,Nicki Minaj,3
Busta Rhymes,Akon,3
Busta Rhymes,The Notorious B.I.G.,3
Busta Rhymes,DJ Khaled,6
8Ball & MJG,Poo Bear,2
Faith Evans,The Notorious B.I.G.,5
Fabolous,Ryan Leslie,8
Fabolous,Jeremih,3
Fabolous,DJ Khaled,6
M.O.P.,The Notorious B.I.G.,3
The Notorious B.I.G.,Eminem,1
The Notorious B.I.G.,Diddy – Dirty Money,3
The Notorious B.I.G.,R. Kelly,3
The Notorious B.I.G.,Lil’ Kim,3
The Notorious B.I.G.,Red Hot Lover Tone,3
The Notorious B.I.G.,Organized Konfusion,3
The Notorious B.I.G.,Da Brat,2
